factorycode,year,month,Volume_pairs,Customer_Target,NB_Requested,Orig_Confirmed,turnover
PYV,2021,1,646956,15%,70%,71%,0.0164
PYV,2021,2,320616,23%,86%,97%,0.0107
PYV,2021,3,330906,33%,92%,92%,0.0246
PYV,2021,4,452572,36%,46%,49%,0.0123
PYV,2021,5,436416,44%,26%,24%,0.0268
PYV,2021,6,507084,49%,29%,31%,0.0164
PYV,2021,7,158757,56%,32%,32%,0.0165
PYV,2021,8,,0%,0%,0%,0.0166
PYV,2021,9,1272,0%,0%,1%,0.0004
PYV,2021,10,100830,0%,0%,12%,0.004
PYV,2021,11,263874,0%,0%,5%,0.0132
PYV,2021,12,327994,0%,0%,13%,0.0348
PYV,2022,1,426554,3%,7%,49%,0.0336
PYV,2022,2,407694,16%,28%,65%,0.017
PYV,2022,3,449154,31%,44%,73%,0.0213
PYV,2022,4,436266,49%,70%,79%,0.0318
PYV,2022,5,695976,67%,76%,85%,0.025
PYV,2022,6,405480,58%,88%,99%,0.0202
PYV,2022,7,608652,60%,85%,95%,0.0232
PYV,2022,8,416292,58%,98%,99%,0.0146
PYV,2022,9,489570,59%,97%,100%,0.0165
PYV,2022,10,572340,51%,95%,97%,0.0165
PYV,2022,11,429954,40%,88%,99%,0.0139
PYV,2022,12,438342,60%,97%,98%,0.0166
PYV,2023,1,453678,61%,92%,96%,0.0171
PYV,2023,2,249552,61%,92%,100%,0.0191
PYV,2023,3,285960,62%,84%,97%,0.0149
PYV,2023,4,417240,66%,97%,99%,0.0114
PYV,2023,5,512106,74%,97%,100%,0.0113
PYV,2023,6,480306,73%,95%,97%,0.0075
PYV,2023,7,629400,63%,95%,97%,0.0075
PYV,2023,8,403608,82%,99%,100%,0.0091
PYV,2023,9,485619,98%,100%,100%,0.0059
PYV,2023,10,528470,97%,98%,99%,0.0072
PYV,2023,11,544228,95%,99%,99%,0.0033
PYV,2023,12,476598,94%,95%,95%,0.0097
PYV,2024,1,634992,95%,98%,97%,
PYV,2024,2,322380,99%,97%,100%,
PYV,2024,3,462120,95%,98%,98%,
PYV,2024,4,506217,84%,90%,99%,
PYV,2024,5,,,,,
PYV,2024,6,,,,,
PYV,2024,7,,,,,
PYV,2024,8,,,,,
PYV,2024,9,,,,,
PYV,2024,10,,,,,
PYV,2024,11,,,,,
PYV,2024,12,,,,,
PHV,2021,1,965148,46%,94%,98%,0.015400411
PHV,2021,2,425352,19%,100%,100%,0.015127038
PHV,2021,3,710676,23%,99%,99%,0.050059242
PHV,2021,4,888300,38%,92%,92%,0.030541142
PHV,2021,5,773238,60%,73%,73%,0.035178777
PHV,2021,6,927558,55%,65%,65%,0.027393268
PHV,2021,7,509742,79%,86%,86%,0.015903122
PHV,2021,8,19050,0%,0%,0%,
PHV,2021,9,4062,0%,0%,0%,
PHV,2021,10,223850,0%,0%,0%,0.003725903
PHV,2021,11,647788,2%,0%,2%,0.065433855
PHV,2021,12,734751,2%,1%,7%,0.044108073
PHV,2022,1,665412,5%,10%,30%,0.027464677
PHV,2022,2,800495,11%,25%,68%,0.026574957
PHV,2022,3,678955,48%,69%,91%,0.036886527
PHV,2022,4,828100,65%,84%,91%,0.027254322
PHV,2022,5,814956,57%,86%,88%,0.03002054
PHV,2022,6,895396,49%,92%,92%,0.02778665
PHV,2022,7,1005480,49%,94%,95%,0.022665603
PHV,2022,8,781746,49%,97%,97%,0.018067792
PHV,2022,9,771510,60%,92%,92%,0.014405594
PHV,2022,10,1129202,86%,96%,96%,0.015215666
PHV,2022,11,804176,73%,100%,100%,0.009785771
PHV,2022,12,829494,45%,96%,97%,0.005431183
PHV,2023,1,638506,72%,89%,88%,0.008688678
PHV,2023,2,758648,93%,94%,100%,0.029326724
PHV,2023,3,659778,91%,88%,100%,0.019401558
PHV,2023,4,952575,97%,93%,100%,0.018224819
PHV,2023,5,751952,95%,100%,100%,0.016970725
PHV,2023,6,920274,93%,100%,100%,0.013661591
PHV,2023,7,900369,87%,100%,100%,0.014695688
PHV,2023,8,745874,98%,99%,99%,0.017439503
PHV,2023,9,791429,100%,100%,100%,0.016604676
PHV,2023,10,1102172,98%,100%,100%,0.015340502
PHV,2023,11,893024,100%,100%,100%,0.012676424
PHV,2023,12,873966,99%,100%,100%,0.009019608
PHV,2024,1,991314,100%,100%,100%,
PHV,2024,2,589132,95%,99%,99%,
PHV,2024,3,846257,100%,100%,100%,
PHV,2024,4,933454,100%,100%,100%,
PHV,2024,5,,,,,
PHV,2024,6,,,,,
PHV,2024,7,,,,,
PHV,2024,8,,,,,
PHV,2024,9,,,,,
PHV,2024,10,,,,,
PHV,2024,11,,,,,
PHV,2024,12,,,,,
FTV2,2021,1,1215342,34%,92%,100%,0.013914931
FTV2,2021,2,732516,30%,98%,98%,0.016023089
FTV2,2021,3,994799,45%,98%,100%,0.023398542
FTV2,2021,4,1213827,30%,91%,98%,0.023110255
FTV2,2021,5,1092384,56%,100%,100%,0.020160899
FTV2,2021,6,1075623,86%,97%,98%,0.015085782
FTV2,2021,7,542604,96%,89%,99%,0.007556926
FTV2,2021,8,,0%,0%,0%,0.001002305
FTV2,2021,9,,0%,0%,0%,0.000100331
FTV2,2021,10,114762,0%,0%,1%,
FTV2,2021,11,116019,3%,3%,4%,0.008895552
FTV2,2021,12,690204,3%,3%,5%,0.039019608
FTV2,2022,1,728202,14%,12%,15%,0.024334068
FTV2,2022,2,879186,7%,6%,9%,0.022059514
FTV2,2022,3,878232,21%,23%,45%,0.026667872
FTV2,2022,4,1098678,32%,44%,49%,0.021456496
FTV2,2022,5,1050744,34%,73%,79%,0.019055434
FTV2,2022,6,1019502,34%,79%,82%,0.01771191
FTV2,2022,7,1290810,41%,80%,83%,0.017140838
FTV2,2022,8,943236,62%,76%,77%,0.012423935
FTV2,2022,9,997983,56%,60%,66%,0.012039
FTV2,2022,10,1526575,77%,66%,69%,0.013496448
FTV2,2022,11,1064290,65%,81%,83%,0.009041878
FTV2,2022,12,1068401,78%,88%,92%,0.003842459
FTV2,2023,1,713454,70%,87%,93%,0.010044194
FTV2,2023,2,1127570,85%,90%,96%,0.016805378
FTV2,2023,3,1052130,85%,93%,98%,0.017737998
FTV2,2023,4,1281480,81%,93%,98%,0.012518409
FTV2,2023,5,1063430,81%,83%,85%,0.015631231
FTV2,2023,6,1056318,68%,79%,80%,0.019837551
FTV2,2023,7,1359696,82%,91%,91%,0.019924242
FTV2,2023,8,1125174,47%,81%,81%,0.016423747
FTV2,2023,9,910950,62%,75%,76%,0.017978831
FTV2,2023,10,1545540,89%,97%,99%,0.017610153
FTV2,2023,11,1215084,87%,97%,100%,0.016423747
FTV2,2023,12,1285561,99%,99%,100%,0.008460482
FTV2,2024,1,1475340,90%,100%,100%,
FTV2,2024,2,599178,85%,100%,100%,
FTV2,2024,3,1096866,97%,97%,100%,
FTV2,2024,4,1306932,90%,98%,100%,
FTV2,2024,5,,,,,
FTV2,2024,6,,,,,
FTV2,2024,7,,,,,
FTV2,2024,8,,,,,
FTV2,2024,9,,,,,
FTV2,2024,10,,,,,
FTV2,2024,11,,,,,
FTV2,2024,12,,,,,
SA1,2021,1,754278,31%,98%,98%,0.005318236
SA1,2021,2,476163,27%,91%,96%,0.024411508
SA1,2021,3,636082,59%,84%,84%,0.030080328
SA1,2021,4,806502,80%,74%,79%,0.027711256
SA1,2021,5,408730,62%,74%,78%,0.023378703
SA1,2021,6,438598,37%,17%,18%,0.012735773
SA1,2021,7,400792,33%,23%,25%,0.008825944
SA1,2021,8,15408,1%,0%,0%,0.002262909
SA1,2021,9,10212,0%,0%,0%,0.0021
SA1,2021,10,70212,0%,0%,0%,0.022727273
SA1,2021,11,365940,0%,0%,1%,0.039215686
SA1,2021,12,520632,2%,0%,3%,0.046594982
SA1,2022,1,483930,1%,3%,20%,0.018693353
SA1,2022,2,435894,6%,8%,47%,0.032125514
SA1,2022,3,494430,6%,8%,52%,0.02645209
SA1,2022,4,519330,28%,43%,73%,0.021017699
SA1,2022,5,499818,23%,50%,56%,0.028408043
SA1,2022,6,593034,45%,56%,62%,0.021866164
SA1,2022,7,634866,68%,60%,70%,0.020594059
SA1,2022,8,448542,63%,78%,89%,0.017660044
SA1,2022,9,539454,88%,96%,99%,0.016793595
SA1,2022,10,761292,87%,97%,100%,0.032857917
SA1,2022,11,507732,84%,99%,100%,0.018504673
SA1,2022,12,440430,86%,99%,100%,0.099179092
SA1,2023,1,314916,82%,100%,100%,0.004032965
SA1,2023,2,370848,89%,96%,100%,0.046238785
SA1,2023,3,446682,76%,65%,100%,0.040120184
SA1,2023,4,550674,83%,83%,100%,0.031922656
SA1,2023,5,398952,88%,85%,100%,0.058405379
SA1,2023,6,298680,92%,84%,98%,0.038850347
SA1,2023,7,453700,100%,97%,100%,0.017909357
SA1,2023,8,428702,99%,99%,100%,0.019624287
SA1,2023,9,495588,95%,99%,100%,0.022389335
SA1,2023,10,671208,99%,99%,100%,0.034838936
SA1,2023,11,530388,98%,98%,99%,0.033110186
SA1,2023,12,531594,97%,99%,99%,0.015418502
SA1,2024,1,520326,100%,99%,100%,
SA1,2024,2,315480,100%,100%,100%,
SA1,2024,3,528486,95%,95%,100%,
SA1,2024,4,580452,97%,97%,100%,
SA1,2024,5,,,,,
SA1,2024,6,,,,,
SA1,2024,7,,,,,
SA1,2024,8,,,,,
SA1,2024,9,,,,,
SA1,2024,10,,,,,
SA1,2024,11,,,,,
SA1,2024,12,,,,,
CJ1,2021,1,143700,43%,100%,100%,0.0213
CJ1,2021,2,210606,68%,100%,100%,0.0358
CJ1,2021,3,214210,46%,99%,99%,0.0566
CJ1,2021,4,114672,26%,93%,93%,0.042
CJ1,2021,5,97206,71%,73%,85%,0.0329
CJ1,2021,6,96842,81%,93%,93%,0.0245
CJ1,2021,7,81882,83%,100%,100%,0.031
CJ1,2021,8,66288,87%,100%,100%,0.0474
CJ1,2021,9,43374,58%,100%,100%,0.0324
CJ1,2021,10,63654,96%,100%,100%,0.0303
CJ1,2021,11,60264,81%,87%,100%,0.0395
CJ1,2021,12,82908,92%,97%,99%,0.0223
CJ1,2022,1,103512,73%,100%,100%,0.015
CJ1,2022,2,144246,84%,100%,100%,0.0218
CJ1,2022,3,77442,35%,75%,96%,0.0375
CJ1,2022,4,85320,88%,91%,99%,0.0151
CJ1,2022,5,105594,97%,98%,100%,0.0275
CJ1,2022,6,74538,86%,100%,100%,0.0232
CJ1,2022,7,125688,79%,100%,100%,0.0217
CJ1,2022,8,121980,84%,99%,100%,0.0221
CJ1,2022,9,129228,43%,72%,100%,0.0327
CJ1,2022,10,115662,92%,98%,100%,0.0211
CJ1,2022,11,101166,73%,87%,100%,0.0169
CJ1,2022,12,90774,97%,95%,100%,0.0178
CJ1,2023,1,49674,94%,87%,94%,0.0218
CJ1,2023,2,260460,100%,97%,100%,0.0182
CJ1,2023,3,61903,98%,86%,88%,0.0216
CJ1,2023,4,37237,95%,95%,95%,0.0262
CJ1,2023,5,68394,96%,97%,96%,0.0172
CJ1,2023,6,88092,99%,95%,99%,0.0212
CJ1,2023,7,100182,99%,96%,99%,0.0295
CJ1,2023,8,50856,83%,100%,83%,0.0405
CJ1,2023,9,74682,97%,98%,97%,0.0282
CJ1,2023,10,85782,98%,95%,98%,0.0226
CJ1,2023,11,86352,87%,100%,87%,0.0292
CJ1,2023,12,100422,78%,100%,78%,0.0099
CJ1,2024,1,81336,100%,100%,100%,
CJ1,2024,2,65694,100%,100%,100%,
CJ1,2024,3,85728,100%,100%,100%,
CJ1,2024,4,112848,100%,100%,100%,
CJ1,2024,5,,,,,
CJ1,2024,6,,,,,
CJ1,2024,7,,,,,
CJ1,2024,8,,,,,
CJ1,2024,9,,,,,
CJ1,2024,10,,,,,
CJ1,2024,11,,,,,
CJ1,2024,12,,,,,
PWI2,2021,1,1234626,53%,97%,100%,0.0086
PWI2,2021,2,961740,32%,98%,100%,0.0048
PWI2,2021,3,1017390,51%,100%,100%,0.0057
PWI2,2021,4,1087356,93%,98%,98%,0.0032
PWI2,2021,5,756190,94%,100%,100%,0.0036
PWI2,2021,6,996077,78%,96%,98%,0.0105
PWI2,2021,7,1385361,65%,96%,100%,0.0064
PWI2,2021,8,985154,72%,94%,96%,0.0115
PWI2,2021,9,834618,90%,80%,91%,0.006
PWI2,2021,10,1352046,72%,67%,78%,0.0083
PWI2,2021,11,1145358,50%,70%,88%,0.0066
PWI2,2021,12,1191402,64%,69%,95%,0.0049
PWI2,2022,1,1431090,35%,76%,83%,0.0062
PWI2,2022,2,994368,40%,78%,81%,0.0039
PWI2,2022,3,1148988,37%,73%,74%,0.0025
PWI2,2022,4,761994,44%,51%,60%,0.0042
PWI2,2022,5,1176450,18%,14%,35%,0.0061
PWI2,2022,6,1240944,17%,22%,43%,0.0066
PWI2,2022,7,1251366,38%,33%,35%,0.0085
PWI2,2022,8,946272,53%,33%,34%,0.0092
PWI2,2022,9,905403,61%,37%,42%,0
PWI2,2022,10,1247019,73%,53%,57%,0.01
PWI2,2022,11,910584,63%,93%,92%,0.0117
PWI2,2022,12,688299,66%,93%,93%,0.0202
PWI2,2023,1,859048,71%,93%,93%,0.026
PWI2,2023,2,722994,84%,98%,98%,0.0214
PWI2,2023,3,792237,74%,96%,98%,0.0156
PWI2,2023,4,690591,74%,94%,95%,0.0025
PWI2,2023,5,751377,58%,94%,98%,0.0036
PWI2,2023,6,774810,67%,100%,100%,0.0075
PWI2,2023,7,935484,70%,84%,84%,0.022
PWI2,2023,8,785418,73%,89%,89%,0.0284
PWI2,2023,9,677592,98%,98%,98%,0.0031
PWI2,2023,10,1033326,94%,98%,99%,0.0085
PWI2,2023,11,888279,99%,100%,100%,0.0119
PWI2,2023,12,803055,95%,96%,96%,0.0128
PWI2,2024,1,973026,99%,100%,100%,
PWI2,2024,2,741498,97%,99%,99%,
PWI2,2024,3,855744,99%,100%,100%,
PWI2,2024,4,824010,85%,95%,100%,
PWI2,2024,5,,,,,
PWI2,2024,6,,,,,
PWI2,2024,7,,,,,
PWI2,2024,8,,,,,
PWI2,2024,9,,,,,
PWI2,2024,10,,,,,
PWI2,2024,11,,,,,
PWI2,2024,12,,,,,
